chapter_no,issue_no,commit
1,345,56542f644fa31f674478dc4fe684bca331e636ef
2,346,83dd1212c8336f0ba4c40fd41423cd9a5e1c1067
3,347,ca939d1e54aa1a5d93c9fac2b9231c1dcd9752fc
4,348,2a499532524e7f7b7d2da77be857920b2a5a70b6
5,349,52052238ebabf9e1156fa7da31d82227708098da
6,350,215a38d6735734e422ef3fc18b2bd9585772b1f1
8,351,6216c2e5a28f3b40a2fd57ef4e47f89f5446737a
10,352,3c3c78e79dc4c54a5a6ff164ca7ed2a4146c4f77
11,353,eda9d726cb0d4e654f2f2287a77ac5d5b08a1f6a
12,354,84240d2094ff0452c4f8486f70de24c2783cdad9
13,355,e952aeed0c3def67988368658e0171bdf819b08e
14,356,e164e1a824c546f341ea3788714f9472adb9b467
15,357,aa38df6d5971184290b32d3937aebbde77980fc6
16,358,b966b3b9c916a62dedd253deacc4d20e291d6cf9
17,359,d4345776a3cd2c743ded61a0e399289f2c903a2a
18,360,d760e067346c7582e66463b35e0f7a0772049f62
19,361,cd570b2e3a23bca9d77b6677b7eeb7b221cc9ca7
20,362,a36ae96acae842eaec71e5977722094ff9412a5a
21,363,c83ff228017bad7878bba409813b17dd19e380c6
22,364,87c15b3bb898ea477845832558ccf3e3903efcd0
23,365,6b088a537f5b0e6dd41d9d85c30dce49bd800e03
24,366,cee4182e22619c03d03c4dfe7ae5eed16ad611f3
25,367,3577ed61de0da775c4ccec1d1c89cffe95ccd2e2
26,368,1ed2c2248fd44fe486a08ee7f53d2c2940df6d77
27,369,e009d63b12ba7c98b8284309dae7e5cf41c69312
28,370,a8a37f6e7b765f9f1af1ebeaa6255f3523df25d7
29,371,6223cececc34d279b6be10f89630b4022ec6cf18
30,372,c7e972bbc826751a96c07b9ceb4dc0b011b6b38e
31,373,da69769437fc6908b851bfebe0926dd9f30dc60d
32,374,73c214d7df58035369769fae680266a6b0ffd477
35,375,a1db8896725d12e950557ee9ddfdeedba6836f7c
